"Feature","Importance"
"(Intercept)",5.39305741489164
"MemoryComplaints",2.6969150262089
"BehavioralProblems",2.44112380481916
"FunctionalAssessment",0.442952020896937
"ADL",0.412856321524798
"Smoking",0.205202671398875
"HeadInjury",0.17874907562519
"Hypertension",0.149161622280679
"FamilyHistoryAlzheimers",0.109559170900608
"MMSE",0.101261816414688
"CardiovascularDisease",0.0973398569229142
"Confusion",0.0782364347966034
"EducationLevel",0.0582622376613178
"SleepQuality",0.0455749989157621
"Disorientation",0.0149184108834372
"DifficultyCompletingTasks",0.0116284984877594
"AlcoholConsumption",0.00960617820440199
"Age",0.0073639752565978
"CholesterolHDL",0.0041900060740391
"CholesterolLDL",0.00214878221695391
"CholesterolTriglycerides",0.000498982634240929
"DiastolicBP",1.36030866411864e-05
