"Feature","Importance"
"FunctionalAssessment",286.515238990265
"ADL",249.553428622812
"MMSE",218.508220079755
"MemoryComplaints",197.222557030179
"BehavioralProblems",114.334382860529
"SleepQuality",50.2462277152433
"CholesterolTriglycerides",49.8078576312408
"CholesterolHDL",48.375148515082
"CholesterolLDL",47.3936348580806
"EducationLevel",26.2909594987327
"Gender",21.7701991625678
"Forgetfulness",21.6461054213516
"Smoking",19.8814437876203
"Ethnicity",19.5223840142086
"FamilyHistoryAlzheimers",18.6569307587952
"Diabetes",13.3772803215291
"Depression",12.4849086235532
"CardiovascularDisease",11.2375627838442
"Disorientation",11.0371002969837
"Hypertension",10.6378336118773
