"Feature","Importance"
"FunctionalAssessment",248.906917722395
"ADL",201.625642701576
"MMSE",176.302212058583
"MemoryComplaints",168.918943698763
"BehavioralProblems",95.5468574574384
"DietQuality",35.1507030476846
"CholesterolTriglycerides",34.1012906973101
"SleepQuality",33.4590846713948
"PhysicalActivity",32.5310675704318
"CholesterolHDL",32.378105552752
"BMI",31.9790092062646
"AlcoholConsumption",31.9352996400689
"CholesterolLDL",30.7957749568803
"CholesterolTotal",29.9567686149564
"SystolicBP",29.2491085819842
"DiastolicBP",29.0760866012899
"Age",28.6557190667809
"Gender",22.7511663093076
"EducationLevel",19.071399326658
"Forgetfulness",18.9057967850186
"FamilyHistoryAlzheimers",14.7914016297685
"Smoking",14.7287100918382
"Ethnicity",12.572187627792
"Diabetes",12.2538876607206
"CardiovascularDisease",11.1020115313588
"Hypertension",9.59332251021293
"Depression",9.47209271119296
"PersonalityChanges",7.77989515790947
"Confusion",7.61925445525778
"Disorientation",7.24035577744025
"DifficultyCompletingTasks",7.03062130152649
"HeadInjury",5.54580849406245
