"SplitRatio","NumColumns","BestModel","BestAccuracy","BestAUC"
0.7,10,"Random Forest",0.955275229357798,0.970405280026991
0.7,11,"Gradient Boosting",0.955275229357798,0.969727880398111
0.7,12,"Random Forest",0.954128440366973,0.970566063596491
0.7,13,"Random Forest",0.956422018348624,0.974158653846154
0.75,10,"Random Forest",0.957359009628611,0.979341726073107
0.75,11,"Random Forest",0.960110041265475,0.978723646291521
0.75,12,"Random Forest",0.958734525447043,0.980665099347794
0.75,13,"Gradient Boosting",0.957359009628611,0.980069770969209
0.8,10,"Random Forest",0.958691910499139,0.96823935968079
0.8,11,"Random Forest",0.955249569707401,0.969973161694851
0.8,12,"Random Forest",0.95697074010327,0.972116663499905
0.8,13,"Random Forest",0.958691910499139,0.971433830514916
