Feature,Importance
MemoryComplaints,0.3716878
BehavioralProblems,0.3205956
FunctionalAssessment,0.06044467
ADL,0.05564431
Smoking,0.03026438
CardiovascularDisease,0.02208007
Hypertension,0.0218346
HeadInjury,0.01705096
MMSE,0.01342288
FamilyHistoryAlzheimers,0.01257066
Confusion,0.007574079
SleepQuality,0.007342543
EducationLevel,0.007186403
Disorientation,0.005669877
Ethnicity,0.00287497
Depression,0.002116282
AlcoholConsumption,0.001644424
Age,0.00101356
CholesterolHDL,0.000481478
CholesterolLDL,0.000278043
CholesterolTriglycerides,8.69E-05
Gender,0
BMI,0
PhysicalActivity,0
DietQuality,0
Diabetes,0
SystolicBP,0
DiastolicBP,0
CholesterolTotal,0
PersonalityChanges,0
DifficultyCompletingTasks,0
Forgetfulness,0
