Model,Accuracy,Precision,Recall,F1-Score
Gradient Boosting,0.7800687285223368,0.7953020134228188,0.7796052631578947,0.7873754152823921
AdaBoost,0.7766323024054983,0.7861842105263158,0.7861842105263158,0.7861842105263158
Random Forest,0.7680412371134021,0.78839590443686,0.7598684210526315,0.7738693467336684
Extra Trees,0.7422680412371134,0.7483870967741936,0.7631578947368421,0.755700325732899
Artificial Neural Network,0.7371134020618557,0.7443365695792881,0.756578947368421,0.7504078303425775
SVM,0.718213058419244,0.7536231884057971,0.6842105263157895,0.7172413793103448
KNN,0.7061855670103093,0.7138263665594855,0.7302631578947368,0.7219512195121952
Decision Tree,0.7027491408934707,0.7027863777089783,0.7467105263157895,0.7240829346092504
Naïve Bayes,0.6855670103092784,0.7335907335907336,0.625,0.674955595026643
Logistic Regression,0.6838487972508591,0.7290076335877863,0.6282894736842105,0.6749116607773852
