"Feature","Importance"
"MemoryComplaints",38.897919087033
"BehavioralProblems",23.8586596936603
"Forgetfulness",8.36286993895325
"Gender",6.50274510281653
"EducationLevel",6.12365464056386
"Diabetes",5.65704817296166
"SleepQuality",5.02498659307054
"Smoking",4.77308281778095
"Depression",4.53813463301026
"PhysicalActivity",4.1873245025731
"FamilyHistoryAlzheimers",4.1346078330458
"HeadInjury",3.80806757399655
"AlcoholConsumption",3.71112078155599
"Ethnicity",3.58891036630923
"Confusion",3.40383525707327
"Disorientation",2.79875659408476
"PersonalityChanges",2.76333005734359
"BMI",2.54249589452485
"CardiovascularDisease",2.51020858109151
"Age",2.39578980939538
"DietQuality",1.48882087020766
"DifficultyCompletingTasks",0.964088183466246
"Hypertension",0.622477240694533
