Feature,Importance
MemoryComplaints,0.3685203339
BehavioralProblems,0.2982615230
Hypertension,0.0244538174
CardiovascularDisease,0.0204817036
EducationLevel,0.0168110377
HeadInjury,0.0147586949
SleepQuality,0.0100925249
Diabetes,0.0047383120
FamilyHistoryAlzheimers,0.0038451757
Age,0.0002222508
Gender,0.0000000000
Ethnicity,0.0000000000
BMI,0.0000000000
Smoking,0.0000000000
AlcoholConsumption,0.0000000000
PhysicalActivity,0.0000000000
DietQuality,0.0000000000
Depression,0.0000000000
Confusion,0.0000000000
Disorientation,0.0000000000
PersonalityChanges,0.0000000000
DifficultyCompletingTasks,0.0000000000
Forgetfulness,0.0000000000
