Feature,Importance
MemoryComplaints,82.814541
BehavioralProblems,63.738963
Forgetfulness,17.455433
EducationLevel,16.512682
Gender,15.512784
Smoking,14.615762
Diabetes,13.828843
FamilyHistoryAlzheimers,13.721575
Depression,11.385193
SleepQuality,11.028137
CardiovascularDisease,9.964765
Age,9.301036
Ethnicity,9.063745
Confusion,8.887143
Disorientation,8.854221
BMI,8.837582
Hypertension,7.880754
DifficultyCompletingTasks,7.070790
AlcoholConsumption,7.645020
PhysicalActivity,6.759757
PersonalityChanges,6.233873
HeadInjury,6.183003
DietQuality,3.998758
