Category,Overall
MemoryComplaints,83.136909
BehavioralProblems,60.091024
Forgetfulness,17.844125
EducationLevel,16.082928
Gender,14.275587
Diabetes,13.946786
Smoking,13.911673
FamilyHistoryAlzheimers,13.338901
Depression,10.387100
Age,9.884888
SleepQuality,9.694498
CardiovascularDisease,9.521855
Confusion,8.339411
Disorientation,8.834145
Ethnicity,8.228452
Hypertension,7.715196
BMI,7.604206
DifficultyCompletingTasks,7.171000
PhysicalActivity,6.482012
PersonalityChanges,6.286498
HeadInjury,6.059297
AlcoholConsumption,5.936993
DietQuality,4.357611
