"SplitRatio","NumColumns","BestModel","BestAccuracy","BestAUC"
0.7,10,"Gradient Boosting",0.954128440366973,0.97126454959514
0.7,11,"Gradient Boosting",0.957568807339449,0.970848093792172
0.7,12,"Random Forest",0.952981651376147,0.973902981612686
0.7,13,"Gradient Boosting",0.958715596330275,0.972197621457491
0.75,10,"Gradient Boosting",0.951856946354883,0.975940391324131
0.75,11,"Gradient Boosting",0.953232462173315,0.974723191263462
0.75,12,"Gradient Boosting",0.953232462173315,0.977817382071892
0.75,13,"Random Forest",0.949105914718019,0.979315182769604
0.8,10,"Random Forest",0.953528399311532,0.966238362150865
0.8,11,"Random Forest",0.951807228915663,0.964748004940148
0.8,12,"Random Forest",0.955249569707401,0.96735464563937
0.8,13,"Gradient Boosting",0.950086058519793,0.959778168345054
