Feature,Importance
FunctionalAssessment,163.360875
ADL,146.660908
MMSE,124.947228
MemoryComplaints,111.764595
BehavioralProblems,86.233507
EducationLevel,8.244232
Hypertension,7.998343
Smoking,7.823814
DifficultyCompletingTasks,7.465505
CholesterolLDL,7.087269
SystolicBP,6.835756
CholesterolTriglycerides,6.739383
Forgetfulness,6.504702
Diabetes,6.478741
SleepQuality,6.438037
Gender,6.344634
CardiovascularDisease,6.114521
FamilyHistoryAlzheimers,6.067965
Age,6.064947
Confusion,5.701881
PhysicalActivity,5.122558
Depression,4.959408
Ethnicity,4.816843
CholesterolHDL,4.731377
PersonalityChanges,3.89406
DietQuality,3.873883
CholesterolTotal,3.810514
Disorientation,3.587106
DiastolicBP,3.509921
HeadInjury,3.186279
BMI,2.974304
AlcoholConsumption,2.795756
