Feature,Overall
FunctionalAssessment,151.333829
ADL,136.174215
MMSE,120.570827
MemoryComplaints,105.792625
BehavioralProblems,80.414265
EducationLevel,7.603576
Hypertension,7.334383
Smoking,7.289624
DifficultyCompletingTasks,7.095345
Forgetfulness,6.879115
SleepQuality,6.861788
CholesterolTriglycerides,6.697944
Disorientation,6.534344
CholesterolHDL,6.452137
Diabetes,6.394433
Gender,6.351144
FamilyHistoryAlzheimers,6.232638
SystolicBP,6.198623
Depression,6.093894
CholesterolTotal,6.049151
CardiovascularDisease,5.939791
PersonalityChanges,5.903796
CholesterolLDL,5.849351
Age,5.840294
PhysicalActivity,5.106235
